stimulus,gender
POFA/fMRI_POFA/002a.tif,f
POFA/fMRI_POFA/008a.tif,f
POFA/fMRI_POFA/049a.tif,f
POFA/fMRI_POFA/058a.tif,f
POFA/fMRI_POFA/067a.tif,f
POFA/fMRI_POFA/086a.tif,f
POFA/fMRI_POFA/094a.tif,f
POFA/fMRI_POFA/015a.tif,m
POFA/fMRI_POFA/023a.tif,m
POFA/fMRI_POFA/033a-sad.tif,m
